Date,Open,High,Low,Close,Adj Close,Volume
2019-11-12,137.380005,138.990005,137.279999,138.089996,136.985931,1046900
2019-11-13,138.089996,140.229996,137.880005,139.779999,138.662430,930500
2019-11-14,139.600006,141.270004,138.970001,141.029999,139.902435,784500
2019-11-15,141.820007,141.820007,140.440002,141.179993,140.051224,1000600
2019-11-18,141.539993,142.990005,141.000000,142.100006,140.963882,1104200
2019-11-19,142.779999,144.429993,142.220001,143.979996,142.828827,1041500
2019-11-20,143.440002,144.809998,142.789993,144.339996,143.185944,1270500
2019-11-21,144.720001,145.509995,143.460007,144.449997,143.295074,1449100
2019-11-22,145.160004,146.250000,144.270004,145.979996,144.812851,1318200
2019-11-25,146.080002,147.070007,145.270004,145.410004,144.247406,794300
2019-11-26,145.580002,147.789993,145.000000,147.779999,146.598450,1317200
2019-11-27,147.979996,148.580002,147.509995,148.509995,147.322632,555100
2019-11-29,148.399994,148.970001,147.179993,147.479996,146.300858,480800
2019-12-02,147.559998,148.220001,146.029999,146.110001,144.941818,791800
2019-12-03,145.279999,146.179993,144.190002,144.970001,143.810928,720700
2019-12-04,145.479996,146.639999,144.949997,145.410004,144.247406,705100
2019-12-05,145.339996,146.559998,145.339996,146.020004,144.852554,561000
2019-12-06,146.539993,147.309998,145.990005,146.820007,145.646149,572800
2019-12-09,147.080002,148.300003,146.550003,147.470001,146.290939,789300
2019-12-10,148.190002,148.479996,147.029999,147.279999,146.102463,635100
2019-12-11,147.190002,147.710007,146.309998,146.809998,145.636215,477600
2019-12-12,146.559998,147.699997,146.330002,147.410004,146.480865,652100
2019-12-13,147.080002,149.559998,146.509995,149.190002,148.249634,684900
2019-12-16,149.779999,150.110001,148.940002,149.690002,148.746490,1406400
2019-12-17,150.460007,151.160004,149.539993,150.809998,149.859421,998400
2019-12-18,151.169998,151.490005,148.429993,148.839996,147.901840,1008700
2019-12-19,148.520004,149.029999,148.050003,148.190002,147.255951,776600
2019-12-20,150.050003,150.050003,148.160004,149.679993,148.736542,1791000
2019-12-23,149.710007,149.820007,148.910004,149.550003,148.607361,555400
2019-12-24,149.589996,150.479996,148.770004,149.169998,148.229767,159500
2019-12-26,149.339996,149.339996,148.300003,148.830002,147.891907,303600
2019-12-27,148.910004,149.250000,148.039993,148.580002,147.643478,686700
2019-12-30,148.479996,148.490005,146.440002,147.550003,146.619980,590400
2019-12-31,147.869995,149.479996,147.550003,149.339996,148.398697,549000
2020-01-02,149.279999,151.130005,148.899994,151.119995,150.167465,845100
2020-01-03,150.000000,152.729996,150.000000,152.589996,151.628220,876900
2020-01-06,151.839996,153.029999,150.690002,152.940002,151.976013,656200
2020-01-07,153.240005,154.929993,153.080002,154.220001,153.247955,1514700
2020-01-08,154.479996,156.229996,153.960007,155.639999,154.658997,773100
2020-01-09,156.669998,157.960007,156.649994,157.139999,156.149536,758800
2020-01-10,157.110001,157.820007,156.389999,157.320007,156.328415,844700
2020-01-13,157.339996,158.139999,156.880005,158.020004,157.023987,549500
2020-01-14,157.649994,157.929993,156.539993,156.880005,155.891190,617600
2020-01-15,157.339996,159.139999,157.210007,158.649994,157.650024,824100
2020-01-16,159.300003,160.889999,158.970001,160.559998,159.547989,628000
2020-01-17,160.860001,161.589996,160.070007,160.550003,159.538055,549300
2020-01-21,159.660004,162.240005,159.259995,161.300003,160.283310,648400
2020-01-22,162.429993,164.050003,162.429993,163.589996,162.558884,790700
2020-01-23,163.130005,165.289993,162.179993,165.100006,164.059357,708100
2020-01-24,165.399994,165.949997,164.130005,165.300003,164.258102,486000
2020-01-27,163.309998,164.910004,161.820007,163.949997,162.916611,640200
2020-01-28,164.149994,165.500000,163.880005,164.809998,163.771194,758900
2020-01-29,165.000000,165.369995,163.929993,164.179993,163.145157,529300
2020-01-30,163.250000,164.809998,162.979996,164.710007,163.671844,476000
2020-01-31,164.419998,164.740005,162.000000,162.470001,161.445938,621000
2020-02-03,163.029999,166.009995,163.029999,165.220001,164.178589,649600
2020-02-04,166.800003,168.710007,166.380005,168.130005,167.070267,931700
2020-02-05,169.500000,169.899994,167.580002,168.559998,167.497543,1132400
2020-02-06,169.550003,169.880005,168.279999,168.949997,167.885101,446700
2020-02-07,168.809998,169.490005,167.820007,169.119995,168.054016,476300
