Date, Open, High, Low, Close
6/9/2017,21208.96,21305.35,21159.45,21271.97
6/12/2017,21259.95,21277.08,21186.15,21235.67
6/13/2017,21256.83,21332.77,21256.83,21328.47
6/14/2017,21342.71,21391.97,21294.09,21374.56
6/15/2017,21291.69,21367.28,21261.87,21359.9
6/16/2017,21335.93,21384.42,21308.01,21384.28
6/19/2017,21444.75,21528.99,21436.08,21528.99
6/20/2017,21521.25,21535.03,21464.24,21467.14
6/21/2017,21466.39,21492.62,21390,21410.03
6/22/2017,21407.98,21456.47,21394.81,21397.29
6/23/2017,21380.92,21421.79,21333.89,21394.76
6/26/2017,21434.68,21506.21,21381.25,21409.55
6/27/2017,21411.19,21440.6,21310.66,21310.66
6/28/2017,21372.36,21478.75,21372.36,21454.61
6/29/2017,21487.38,21487.38,21197.08,21287.03
6/30/2017,21348.6,21426.12,21325.08,21349.63
7/3/2017,21392.3,21562.75,21391.71,21479.27
7/5/2017,21492.83,21505.36,21404.76,21478.17
7/6/2017,21423.93,21433.1,21305.38,21320.04
7/7/2017,21354.66,21425.82,21350.72,21414.34
7/10/2017,21381.23,21446.39,21371.11,21408.52
7/11/2017,21410.17,21441.62,21279.3,21409.07
7/12/2017,21467.93,21580.79,21467.93,21532.14
7/13/2017,21537.19,21568.72,21512.36,21553.09
7/14/2017,21532.77,21681.53,21521.72,21637.74
7/17/2017,21633.97,21661.81,21617.66,21629.72
7/18/2017,21589.94,21589.94,21471.14,21574.73
7/19/2017,21569.25,21640.75,21565.84,21640.75
7/20/2017,21641.54,21661.91,21576.96,21611.78
7/21/2017,21591.72,21592.61,21503.78,21580.07
7/24/2017,21577.78,21577.78,21496.13,21513.17
7/25/2017,21638.56,21670.62,21577.37,21613.43
7/26/2017,21690.38,21742.7,21683.29,21711.01
7/27/2017,21717.42,21798.47,21687.85,21796.55
7/28/2017,21787.51,21841.18,21756.12,21830.31
7/31/2017,21863.39,21929.8,21861.71,21891.12
8/1/2017,21961.42,21990.96,21940.81,21963.92
8/2/2017,22004.36,22036.1,21967.46,22016.24
